name,parent_race,ability_score_increase,size,speed,age_typical_lifespan,languages,traits,subrace_options,source
Dwarf,,CON +2,Medium,25,~350 years (mature at 50),"Common, Dwarvish","Darkvision 60ft; Dwarven Resilience (advantage vs poison saves, resistance vs poison damage); Dwarven Combat Training (battleaxe, handaxe, light hammer, warhammer); Tool Proficiency (smith's tools, brewer's supplies, or mason's tools); Stonecunning (+2× PB on History checks about stonework)","Hill Dwarf, Mountain Dwarf",Basic/PHB
Hill Dwarf,Dwarf,WIS +1 (+ CON +2 from base),Medium,25,~350 years,"Common, Dwarvish",Dwarf traits + Dwarven Toughness (HP max +1 per level),,Basic/PHB
Mountain Dwarf,Dwarf,STR +2 (+ CON +2 from base),Medium,25,~350 years,"Common, Dwarvish",Dwarf traits + Dwarven Armor Training (light and medium armor proficiency),,PHB
Elf,,DEX +2,Medium,30,~750 years (mature at 100),"Common, Elvish",Darkvision 60ft; Keen Senses (proficiency in Perception); Fey Ancestry (advantage vs charm; immune to magical sleep); Trance (4-hour meditation = 8-hour rest),"High Elf, Wood Elf, Drow",Basic/PHB
High Elf,Elf,INT +1 (+ DEX +2 from base),Medium,30,~750 years,"Common, Elvish, +1 extra of choice","Elf traits + Elf Weapon Training (longsword/shortsword/shortbow/longbow); Cantrip (one wizard cantrip from list, INT mod); Extra Language",,Basic/PHB
Wood Elf,Elf,WIS +1 (+ DEX +2 from base),Medium,35,~750 years,"Common, Elvish",Elf traits + Elf Weapon Training; Fleet of Foot (speed 35); Mask of the Wild (hide when only lightly obscured by foliage/rain/snow/etc.),,PHB
Drow,Elf,CHA +1 (+ DEX +2 from base),Medium,30,~750 years,"Common, Elvish, Undercommon",Elf traits + Superior Darkvision 120ft; Sunlight Sensitivity (disadvantage on attacks/Perception checks based on sight in direct sun); Drow Magic (dancing lights cantrip; faerie fire at 3rd; darkness at 5th) using CHA; Drow Weapon Training (rapiers/shortswords/hand crossbows),,PHB
Halfling,,DEX +2,Small,25,~150 years (mature at 20),"Common, Halfling",Lucky (reroll natural 1 on attack/check/save once); Brave (advantage vs being frightened); Halfling Nimbleness (move through space of larger creatures),"Lightfoot, Stout",Basic/PHB
Lightfoot,Halfling,CHA +1 (+ DEX +2 from base),Small,25,~150 years,"Common, Halfling",Halfling traits + Naturally Stealthy (can attempt to hide when obscured by a creature at least one size larger),,Basic/PHB
Stout,Halfling,CON +1 (+ DEX +2 from base),Small,25,~150 years,"Common, Halfling",Halfling traits + Stout Resilience (advantage vs poison saves; resistance vs poison damage),,PHB
Human,,All abilities +1,Medium,30,~80 years (mature at late teens),"Common, +1 extra of choice","Standard variant: +1 to all six scores. Variant Human (PHB): +1 to two abilities, one skill proficiency, one feat","Standard, Variant",Basic/PHB
Variant Human,Human,Two abilities +1 each,Medium,30,~80 years,"Common, +1 extra of choice",One feat at 1st level; One skill proficiency,,PHB
Dragonborn,,STR +2 CHA +1,Medium,30,~80 years (mature at 15),"Common, Draconic","Draconic Ancestry (Black/Blue/Brass/Bronze/Copper/Gold/Green/Red/Silver/White - determines breath weapon and damage resistance); Breath Weapon (DEX or CON save, 2d6 at 1st, scales by level); Damage Resistance (matching ancestry)","Black, Blue, Brass, Bronze, Copper, Gold, Green, Red, Silver, White",PHB
Gnome,,INT +2,Small,25,~500 years (mature at 40),"Common, Gnomish",Darkvision 60ft; Gnome Cunning (advantage on INT/WIS/CHA saves vs magic),"Forest Gnome, Rock Gnome",PHB
Forest Gnome,Gnome,DEX +1 (+ INT +2 from base),Small,25,~500 years,"Common, Gnomish",Gnome traits + Natural Illusionist (minor illusion cantrip; INT-based); Speak with Small Beasts (limited communication with small or smaller beasts),,PHB
Rock Gnome,Gnome,CON +1 (+ INT +2 from base),Small,25,~500 years,"Common, Gnomish","Gnome traits + Artificer's Lore (+2× PB on History about magic items/alchemy/technology); Tinker (tinker's tools proficiency; build small mechanical devices: clockwork toy, fire starter, music box)",,PHB
Half-Elf,,CHA +2 + two other abilities +1 each,Medium,30,~180 years (mature at 20),"Common, Elvish, +1 extra of choice",Darkvision 60ft; Fey Ancestry (advantage vs charm; immune to magical sleep); Skill Versatility (proficiency in 2 skills of choice),None (no subraces in PHB),PHB
Half-Orc,,STR +2 CON +1,Medium,30,~75 years (mature at 14),"Common, Orc","Darkvision 60ft; Menacing (proficiency in Intimidation); Relentless Endurance (when reduced to 0 HP but not killed outright, drop to 1 HP instead, 1/long rest); Savage Attacks (extra weapon damage die on melee crit)",None,PHB
Tiefling,,INT +1 CHA +2,Medium,30,Slightly longer than humans,"Common, Infernal",Darkvision 60ft; Hellish Resistance (resistance to fire damage); Infernal Legacy (thaumaturgy cantrip; hellish rebuke at 3rd; darkness at 5th) using CHA,None (PHB; subraces in MToF),PHB
